Dataset,Backbone,Labeled Regime,mIoU
ADE20K,Small,1/64,31.5
ADE20K,Small,1/32,38.1
ADE20K,Small,1/16,40.7
ADE20K,Small,1/8,44.4
ADE20K,Small,1/4,45.8
ADE20K,Base,1/64,38.7
ADE20K,Base,1/32,45.0
ADE20K,Base,1/16,46.7
ADE20K,Base,1/8,49.8
ADE20K,Base,1/4,52.0
Cityscapes,Small,1/16,80.6
Cityscapes,Small,1/8,81.9
Cityscapes,Small,1/4,82.4
Cityscapes,Small,1/2,82.6
Cityscapes,Base,1/16,83.6
Cityscapes,Base,1/8,84.3
Cityscapes,Base,1/4,84.5
Cityscapes,Base,1/2,85.1
COCO,Small,1/512,30.3
COCO,Small,1/256,45.4
COCO,Small,1/128,53.2
COCO,Small,1/64,55.0
COCO,Small,1/32,57.0
COCO,Base,1/512,47.9
COCO,Base,1/256,55.8
COCO,Base,1/128,58.7
COCO,Base,1/64,60.4
COCO,Base,1/32,63.3
